IL,EPSG
Adana,2322
Adıyaman,2323
Afyonkarahisar,2320
Ağrı,2324
Aksaray,2321
Amasya,2322
Ankara,2321
Antalya,2320
Ardahan,2324
Artvin,2324
Aydın,2319
Balıkesir,2319
Bartın,2321
Batman,2324
Bayburt,2323
Bilecik,2320
Bingöl,2323
Bitlis,2324
Bolu,2321
Burdur,2320
Bursa,2320
Çanakkale,2319
Çankırı,2321
Çorum,2322
Denizli,2320
Diyarbakır,2323
Düzce,2320
Edirne,2319
Elazığ,2323
Erzincan,2323
Erzurum,2324
Eskişehir,2320
Gaziantep,2322
Giresun,2323
Gümüşhane,2323
Hakkari,2325
Hatay,2322
Iğdır,2325
Isparta,2320
İstanbul,2320
İzmir,2319
Kahramanmaraş,2322
Karabük,2321
Karaman,2321
Kars,2324
Kastamonu,2321
Kayseri,2322
Kilis,2322
Kırıkkale,2321
Kırklareli,2319
Kırşehir,2321
Kocaeli,2320
Konya,2321
Kütahya,2320
Malatya,2323
Manisa,2319
Mardin,2324
Mersin,2322
Muğla,2319
Muş,2324
Nevşehir,2322
Niğde,2322
Ordu,2323
Osmaniye,2322
Rize,2324
Sakarya,2320
Samsun,2322
Şanlıurfa,2323
Siirt,2324
Sinop,2322
Sivas,2322
Şırnak,2324
Tekirdağ,2319
Tokat,2322
Trabzon,2323
Tunceli,2323
Uşak,2320
Van,2324
Yalova,2320
Yozgat,2322
Zonguldak,2321
